equipment_id,equipment_type,age_years,usage_count,days_since_maintenance,condition_score,maintenance_needed
EQ-048,Centrifuge,7.7,614,102,1,0
EQ-049,Centrifuge,4.1,225,318,8,0
EQ-050,Microscope,1.3,77,17,8,0
EQ-051,Autoclave,7.9,263,88,4,0
EQ-052,Spectrophotometer,5.8,391,36,5,0
EQ-053,Autoclave,4.5,182,183,7,0
EQ-054,Autoclave,9.1,681,59,1,0
EQ-055,Centrifuge,1.6,64,208,10,0
EQ-056,Autoclave,5.2,205,358,5,0
EQ-057,Microscope,0.6,19,190,10,0
EQ-058,Microscope,5.0,268,33,5,0
EQ-059,Microscope,1.0,58,325,9,0
EQ-060,Microscope,1.6,53,55,8,0
EQ-061,Centrifuge,1.6,110,24,10,0
EQ-062,Microscope,6.7,352,162,3,1
EQ-063,Autoclave,7.6,427,231,4,0
EQ-064,Centrifuge,6.0,312,215,4,0
EQ-065,Microscope,9.6,480,282,2,1
EQ-066,Centrifuge,4.1,237,245,7,0
EQ-067,Microscope,3.2,120,349,9,0
EQ-068,Autoclave,8.8,344,237,5,0
EQ-069,Microscope,2.6,190,18,6,0
EQ-070,Autoclave,9.7,749,175,1,1
EQ-071,Spectrophotometer,0.6,29,328,10,0
EQ-072,Microscope,9.7,422,223,1,1
EQ-073,Microscope,0.9,55,126,10,0
EQ-074,Autoclave,9.0,453,353,2,1
EQ-075,Spectrophotometer,5.5,171,81,7,0
EQ-076,Spectrophotometer,9.9,374,73,2,1
EQ-077,Spectrophotometer,1.2,78,214,7,1
EQ-078,Microscope,5.8,365,218,2,1
EQ-079,Centrifuge,9.7,304,81,4,0
EQ-080,Microscope,5.5,226,286,7,0
EQ-081,Autoclave,6.5,270,283,5,0
EQ-082,Spectrophotometer,7.1,451,329,3,1
EQ-083,Microscope,4.8,148,347,5,1
EQ-084,Microscope,6.5,228,104,6,1
EQ-085,Microscope,6.1,426,175,3,1
EQ-086,Microscope,9.1,354,41,2,1
EQ-087,Spectrophotometer,0.9,56,20,8,0
EQ-088,Spectrophotometer,3.2,134,310,7,1
EQ-089,Autoclave,9.5,332,226,2,0
EQ-090,Centrifuge,9.0,379,298,3,0
EQ-091,Microscope,4.8,317,111,5,1
EQ-092,Spectrophotometer,6.4,465,276,5,1
EQ-093,Spectrophotometer,3.1,221,223,8,1
EQ-094,Centrifuge,2.3,114,188,8,0
EQ-095,Spectrophotometer,4.9,310,97,6,1
EQ-096,Centrifuge,3.9,156,50,10,0
EQ-097,Centrifuge,6.0,267,85,4,0
EQ-098,Centrifuge,1.2,89,55,7,0
EQ-099,Microscope,9.8,300,169,4,1
EQ-100,Microscope,9.9,339,89,5,1
EQ-101,Microscope,7.1,286,319,4,1
EQ-102,Spectrophotometer,5.6,175,95,8,0
EQ-103,Microscope,3.4,132,101,8,0
EQ-104,Centrifuge,8.2,485,157,2,0
EQ-105,Autoclave,7.0,357,170,3,0
EQ-106,Microscope,2.0,149,211,9,0
EQ-107,Centrifuge,9.2,652,251,1,1
EQ-108,Spectrophotometer,8.3,390,362,3,1
EQ-109,Microscope,9.5,408,11,4,1
EQ-110,Microscope,7.4,362,234,4,1
EQ-111,Microscope,6.3,374,298,6,1
EQ-112,Microscope,4.5,195,242,5,1
EQ-113,Autoclave,9.4,575,86,1,0
EQ-114,Autoclave,8.7,439,125,1,0
EQ-115,Spectrophotometer,0.9,51,163,9,0
EQ-116,Autoclave,0.8,41,112,10,0
EQ-117,Autoclave,4.1,183,203,7,0
EQ-118,Microscope,8.2,634,175,3,1
EQ-119,Autoclave,9.9,674,99,1,0
EQ-120,Centrifuge,1.9,70,183,9,0
EQ-121,Autoclave,6.1,447,131,3,0
EQ-122,Autoclave,4.1,222,152,7,0
EQ-123,Microscope,9.7,724,115,1,1
EQ-124,Microscope,8.5,594,314,2,1
EQ-125,Microscope,8.5,435,326,2,1
EQ-126,Centrifuge,5.0,155,132,5,0
EQ-127,Autoclave,4.4,191,18,6,0
EQ-128,Autoclave,3.1,176,271,7,0
EQ-129,Microscope,1.0,61,82,9,0
EQ-130,Centrifuge,8.7,373,232,4,0
EQ-131,Centrifuge,8.2,303,50,3,0
EQ-132,Microscope,10.0,717,213,1,1
EQ-133,Microscope,10.0,792,273,2,1
EQ-134,Microscope,5.8,326,337,4,0
EQ-135,Autoclave,7.8,300,187,5,0
EQ-136,Microscope,9.5,414,357,3,1
EQ-137,Centrifuge,8.6,265,327,4,0
EQ-138,Spectrophotometer,2.8,212,93,7,0
EQ-139,Centrifuge,4.8,172,327,6,0
EQ-140,Autoclave,1.7,100,120,9,0
EQ-141,Autoclave,9.6,419,260,2,0
EQ-142,Microscope,6.3,363,16,6,1
EQ-143,Centrifuge,2.7,168,93,8,0
EQ-144,Microscope,6.9,493,217,4,1
EQ-145,Microscope,6.4,258,323,4,1
EQ-146,Microscope,3.9,119,31,7,0
EQ-147,Spectrophotometer,1.6,58,12,7,0
EQ-148,Centrifuge,6.9,517,136,3,0
EQ-149,Microscope,5.4,397,306,3,1
EQ-150,Microscope,7.8,466,197,5,0
EQ-151,Autoclave,5.4,324,23,5,0
EQ-152,Microscope,8.6,543,21,2,1
EQ-153,Microscope,5.7,220,96,5,0
EQ-154,Centrifuge,5.8,439,21,4,0
EQ-155,Autoclave,8.8,448,34,6,0
EQ-156,Microscope,4.3,211,310,6,1
EQ-157,Spectrophotometer,1.8,100,252,8,0
EQ-158,Spectrophotometer,0.8,25,131,10,0
EQ-159,Microscope,7.7,295,156,1,1
EQ-160,Spectrophotometer,6.4,428,64,4,0
EQ-161,Centrifuge,7.2,245,247,4,0
EQ-162,Spectrophotometer,2.5,150,182,7,1
EQ-163,Spectrophotometer,1.8,76,230,9,0
EQ-164,Centrifuge,0.6,29,128,10,0
EQ-165,Microscope,3.8,168,318,5,1
EQ-166,Autoclave,6.1,291,192,4,0
EQ-167,Microscope,4.2,276,297,3,0
EQ-168,Microscope,4.7,210,316,7,0
EQ-169,Microscope,9.1,530,309,2,1
EQ-170,Centrifuge,3.8,204,91,6,0
EQ-171,Spectrophotometer,5.4,341,220,6,1
EQ-172,Microscope,7.9,607,159,1,1
EQ-173,Centrifuge,4.3,286,46,5,0
EQ-174,Microscope,6.4,260,361,6,1
EQ-175,Spectrophotometer,8.7,274,321,3,1
EQ-176,Microscope,9.5,409,68,2,0
EQ-177,Spectrophotometer,1.9,113,140,8,0
EQ-178,Centrifuge,9.3,302,211,3,0
EQ-179,Autoclave,5.2,285,252,5,0
EQ-180,Microscope,3.0,179,44,6,0
EQ-181,Microscope,4.9,228,102,6,0
EQ-182,Microscope,9.8,671,216,1,1
EQ-183,Autoclave,5.2,183,362,6,0
EQ-184,Autoclave,3.6,121,341,7,0
EQ-185,Microscope,6.5,431,314,2,1
EQ-186,Spectrophotometer,2.8,153,359,9,0
EQ-187,Autoclave,1.2,77,222,9,0
EQ-188,Centrifuge,1.7,87,168,10,0
EQ-189,Centrifuge,1.7,71,33,7,0
EQ-190,Microscope,1.9,134,302,8,0
EQ-191,Microscope,1.8,125,13,8,0
EQ-192,Autoclave,6.6,427,229,5,0
EQ-193,Autoclave,2.2,95,29,8,0
EQ-194,Spectrophotometer,3.8,226,161,5,1
EQ-195,Microscope,9.0,432,59,4,1
EQ-196,Microscope,5.0,172,186,6,0
EQ-197,Spectrophotometer,6.8,515,105,4,1
EQ-198,Autoclave,2.1,77,114,9,0
EQ-199,Autoclave,2.3,178,259,8,0
EQ-200,Spectrophotometer,0.9,47,126,9,0
EQ-201,Spectrophotometer,2.1,82,363,8,1
EQ-202,Microscope,3.1,176,237,7,0
EQ-203,Microscope,2.2,162,75,9,0
EQ-204,Autoclave,1.3,86,344,8,0
EQ-205,Spectrophotometer,1.6,112,271,9,0
EQ-206,Microscope,4.9,308,304,4,1
EQ-207,Microscope,2.5,161,252,6,0
EQ-208,Spectrophotometer,4.0,289,195,6,1
EQ-209,Microscope,5.3,225,255,3,1
EQ-210,Microscope,7.1,386,134,6,1
EQ-211,Centrifuge,0.9,36,277,8,0
EQ-212,Spectrophotometer,8.1,643,140,2,1
EQ-213,Spectrophotometer,6.5,501,246,5,0
EQ-214,Microscope,1.3,41,27,8,0
EQ-215,Spectrophotometer,8.8,574,49,1,1
EQ-216,Microscope,9.2,701,30,1,1
EQ-217,Microscope,1.1,42,234,8,0
EQ-218,Spectrophotometer,3.1,181,364,5,1
EQ-219,Spectrophotometer,8.2,621,291,2,1
EQ-220,Autoclave,7.6,240,17,5,0
EQ-221,Spectrophotometer,2.3,149,109,9,1
EQ-222,Centrifuge,2.5,112,249,7,0
EQ-223,Microscope,4.0,304,96,4,0
EQ-224,Centrifuge,5.1,400,307,4,0
EQ-225,Microscope,6.4,494,23,3,0
EQ-226,Microscope,4.0,214,343,8,0
EQ-227,Autoclave,4.9,358,11,7,0
EQ-228,Centrifuge,7.6,548,302,4,0
EQ-229,Autoclave,0.8,36,334,10,0
EQ-230,Spectrophotometer,2.9,207,50,8,0
EQ-231,Spectrophotometer,7.3,232,327,4,1
EQ-232,Centrifuge,9.0,538,325,2,1
EQ-233,Centrifuge,5.4,224,120,4,0
EQ-234,Centrifuge,5.6,201,23,6,0
EQ-235,Microscope,1.5,50,240,9,0
EQ-236,Spectrophotometer,4.8,311,93,8,0
EQ-237,Microscope,5.6,263,139,5,0
EQ-238,Microscope,2.8,185,240,7,0
EQ-239,Spectrophotometer,3.1,103,335,8,0
EQ-240,Microscope,4.1,187,154,6,0
EQ-241,Autoclave,0.7,39,354,8,0
EQ-242,Autoclave,3.6,250,37,8,0
EQ-243,Autoclave,2.5,114,75,7,0
EQ-244,Centrifuge,3.6,220,172,5,0
EQ-245,Microscope,1.6,118,238,9,0
EQ-246,Autoclave,9.0,547,270,3,0
EQ-247,Centrifuge,6.1,254,173,5,0
EQ-248,Autoclave,7.0,218,310,5,0
EQ-249,Autoclave,8.0,588,312,2,1
EQ-250,Autoclave,5.2,161,296,5,1
EQ-251,Microscope,1.3,95,19,8,0
EQ-252,Centrifuge,5.6,316,204,6,0
EQ-253,Autoclave,6.1,469,127,5,0
EQ-254,Microscope,7.6,531,279,4,1
EQ-255,Microscope,4.6,367,89,4,0
EQ-256,Centrifuge,1.7,80,102,8,0
EQ-257,Autoclave,3.2,218,275,7,0
EQ-258,Spectrophotometer,3.9,195,341,6,0
EQ-259,Centrifuge,6.6,356,359,5,0
EQ-260,Microscope,5.9,362,266,6,1
EQ-261,Spectrophotometer,3.9,287,142,5,1
EQ-262,Autoclave,9.9,784,285,1,0
EQ-263,Microscope,6.3,431,273,6,0
EQ-264,Centrifuge,2.8,142,180,10,0
EQ-265,Autoclave,1.5,76,10,10,0
EQ-266,Spectrophotometer,2.0,133,322,9,0
EQ-267,Spectrophotometer,2.8,117,73,7,1
EQ-268,Spectrophotometer,2.0,71,293,9,1
EQ-269,Centrifuge,2.3,109,130,9,0
EQ-270,Microscope,3.2,141,116,7,0
EQ-271,Autoclave,2.1,94,184,8,0
EQ-272,Autoclave,9.0,375,213,1,0
EQ-273,Autoclave,1.3,41,174,7,0
EQ-274,Autoclave,5.5,169,314,4,0
EQ-275,Centrifuge,4.4,349,129,6,0
EQ-276,Centrifuge,9.8,503,53,2,0
EQ-277,Spectrophotometer,1.6,78,321,8,0
EQ-278,Spectrophotometer,4.3,275,165,6,1
EQ-279,Spectrophotometer,9.7,396,216,3,1
EQ-280,Spectrophotometer,8.7,674,117,1,1
EQ-281,Autoclave,8.3,575,260,1,1
EQ-282,Microscope,3.0,103,343,9,0
EQ-283,Centrifuge,2.1,106,139,9,0
EQ-284,Microscope,6.9,510,302,3,1
EQ-285,Centrifuge,9.3,718,29,2,0
EQ-286,Microscope,5.8,309,291,4,0
EQ-287,Centrifuge,5.9,357,294,6,0
EQ-288,Centrifuge,3.2,122,10,7,0
EQ-289,Microscope,7.8,620,128,3,1
EQ-290,Centrifuge,2.3,95,44,9,0
EQ-291,Microscope,3.6,277,207,5,0
EQ-292,Microscope,4.5,281,254,6,0
EQ-293,Autoclave,5.3,320,68,6,0
EQ-294,Centrifuge,2.8,155,334,8,0
EQ-295,Microscope,1.6,66,170,9,1
EQ-296,Centrifuge,6.3,244,188,5,0
EQ-297,Spectrophotometer,3.2,131,215,9,0
EQ-298,Microscope,6.0,235,21,6,0
EQ-299,Spectrophotometer,2.0,137,285,8,1
EQ-300,Microscope,5.1,242,190,4,1
EQ-301,Microscope,5.6,184,251,7,1
EQ-302,Centrifuge,1.0,78,225,10,0
EQ-303,Centrifuge,3.7,274,260,9,0
EQ-304,Spectrophotometer,1.8,137,308,9,0
EQ-305,Spectrophotometer,1.1,87,135,7,0
EQ-306,Autoclave,9.9,383,226,3,0
EQ-307,Centrifuge,3.6,179,315,9,0
EQ-308,Microscope,8.2,556,294,3,1
EQ-309,Spectrophotometer,2.9,187,194,8,1
EQ-310,Microscope,7.0,263,48,6,0
EQ-311,Centrifuge,7.7,545,232,2,0
EQ-312,Microscope,6.2,255,193,6,0
EQ-313,Microscope,5.0,205,187,6,0
EQ-314,Autoclave,4.4,250,303,6,0
EQ-315,Autoclave,3.8,226,349,8,0
EQ-316,Spectrophotometer,9.3,548,160,1,1
EQ-317,Centrifuge,8.4,290,135,5,0
EQ-318,Microscope,9.7,716,310,1,1
EQ-319,Microscope,1.7,73,317,9,0
EQ-320,Microscope,7.4,269,345,3,0
EQ-321,Centrifuge,9.4,699,243,2,0
EQ-322,Spectrophotometer,2.2,171,17,9,0
EQ-323,Spectrophotometer,1.1,80,350,8,0
EQ-324,Microscope,7.5,528,138,1,1
EQ-325,Autoclave,6.0,376,273,5,0
EQ-326,Spectrophotometer,8.5,489,166,4,1
EQ-327,Centrifuge,1.8,61,361,7,0
EQ-328,Spectrophotometer,8.1,408,14,2,1
EQ-329,Centrifuge,2.4,116,95,7,0
EQ-330,Microscope,2.1,90,184,7,0
EQ-331,Centrifuge,2.1,138,299,7,0
EQ-332,Spectrophotometer,8.2,449,202,1,1
EQ-333,Microscope,6.8,231,320,6,1
EQ-334,Microscope,5.5,225,128,6,0
EQ-335,Microscope,3.9,250,227,4,0
EQ-336,Microscope,8.8,297,123,5,0
EQ-337,Autoclave,4.2,304,154,8,0
EQ-338,Spectrophotometer,8.3,454,35,2,1
EQ-339,Centrifuge,4.7,253,145,7,0
EQ-340,Microscope,4.1,244,312,6,1
EQ-341,Centrifuge,4.9,349,241,5,0
EQ-342,Centrifuge,3.4,161,85,6,0
EQ-343,Microscope,7.6,485,337,6,0
EQ-344,Centrifuge,5.3,308,354,5,0
EQ-345,Centrifuge,2.7,117,311,8,0
EQ-346,Spectrophotometer,9.0,665,298,1,1
EQ-347,Spectrophotometer,4.1,286,10,8,0
EQ-348,Microscope,5.7,358,156,7,1
EQ-349,Centrifuge,9.1,660,296,3,0
EQ-350,Spectrophotometer,6.4,469,151,5,0
EQ-351,Centrifuge,1.6,104,62,8,0
EQ-352,Autoclave,9.4,675,313,2,0
EQ-353,Spectrophotometer,6.5,421,78,4,1
EQ-354,Microscope,3.7,236,99,8,0
EQ-355,Microscope,1.8,109,229,10,0
EQ-356,Spectrophotometer,8.0,541,201,2,1
EQ-357,Microscope,6.4,242,72,6,0
EQ-358,Centrifuge,5.6,414,82,5,0
EQ-359,Autoclave,9.0,662,170,1,0
EQ-360,Centrifuge,8.0,251,178,5,0
EQ-361,Centrifuge,1.9,135,98,8,0
EQ-362,Spectrophotometer,3.5,127,185,6,0
EQ-363,Centrifuge,2.9,135,278,7,0
EQ-364,Centrifuge,7.6,510,82,3,0
EQ-365,Autoclave,0.8,30,254,10,0
EQ-366,Centrifuge,5.9,418,86,3,0
EQ-367,Autoclave,7.7,551,168,3,0
EQ-368,Autoclave,8.8,487,333,3,0
EQ-369,Microscope,3.7,112,107,10,0
EQ-370,Microscope,8.3,368,111,2,1
EQ-371,Microscope,1.6,97,141,8,0
EQ-372,Microscope,8.5,672,111,2,1
EQ-373,Microscope,1.7,104,28,10,0
EQ-374,Spectrophotometer,4.3,184,91,6,1
EQ-375,Microscope,8.1,499,288,4,1
EQ-376,Microscope,1.9,108,348,6,0
EQ-377,Autoclave,2.7,186,340,6,0
EQ-378,Microscope,7.4,261,138,5,0
EQ-379,Autoclave,7.3,496,353,1,0
EQ-380,Microscope,6.6,376,319,3,1
EQ-381,Microscope,7.1,554,98,2,1
EQ-382,Spectrophotometer,5.7,268,222,6,1
EQ-383,Spectrophotometer,2.9,178,152,5,0
EQ-384,Autoclave,3.8,291,74,6,0
EQ-385,Spectrophotometer,2.2,77,85,10,0
EQ-386,Autoclave,9.1,699,208,1,1
EQ-387,Microscope,6.0,386,152,4,1
EQ-388,Microscope,4.3,143,325,7,0
EQ-389,Spectrophotometer,4.9,220,102,6,1
EQ-390,Autoclave,9.5,621,314,3,1
EQ-391,Autoclave,2.0,66,233,7,0
EQ-392,Centrifuge,6.1,360,300,4,0
EQ-393,Centrifuge,5.3,250,111,6,0
EQ-394,Spectrophotometer,6.3,384,276,4,1
EQ-395,Microscope,0.7,22,364,6,0
EQ-396,Autoclave,8.8,647,119,1,0
EQ-397,Autoclave,9.4,739,339,1,1
EQ-398,Centrifuge,5.9,462,274,5,0
EQ-399,Spectrophotometer,7.1,479,12,4,1
EQ-400,Spectrophotometer,9.3,339,94,2,1
